Allôs Bouffe|On livre la bouffe |nourriture
Allô Sochaux|habillé en supporter de sochaux on met l'ambiance|sochaux
Allô jeu de société|on joue � des jeux de sociétés qu'on ramène |societe
Allô Chevaliers|on prend 2 épées et 2 boucliers en bois et on lance un combat|chevaliers
Allô Chacal/karaoke|karaoké avec des musiques de Fatal Bazooka |chacal
Allô coiffure|tout est dans le nom, on fait aussi des colorations avec des bombes|coiffure
Allô ciné|special pour le dimanche on regarde la F1|cine
Allô Kamelott|Allo ciné on regarde kamelott|kaamelott
Allô ween|on se ramène déguisé|ween
Chat-m'allô|On ramène des chamallow|malljpg
K-chat'llo|on vient en palmes/tuba plonger dans la baignoire/sous la douche.|glouglou
Allô chiChat|on fait une chicha|chicha
Allô piment|on ramène des piments pour qu'ils les mangent (compte dans la comptétion)|piments
All'ocotgone|comme chevalier mais on se bat avec n'importe quoi |octogone
Allô beerup|on leur sert des verres avec une tireuse � bière portative|tireuse
Allô Robobrale|Les jeux incongrus qui feront l'objet d'une compétition |
Allô soirée |on casse la colloc comme piquette lol |demolition
